(-0.02760531893454403, 0.014715955452255952)
(-0.02753024836908311, 0.014685221361456119)
(-0.027447148298814967, 0.014651329477294344)
(-0.027365538900032342, 0.014618187429763113)
(-0.027297151633109622, 0.01459054044001189)
(-0.027253302512724696, 0.014572914124337151)
(-0.02725148743077804, 0.014572287948133623)
(-0.027309787391531823, 0.014595541760073442)
(-0.027438347117184046, 0.014646459362370703)
(-0.02764797121593044, 0.014728946652734765)
(-0.02800152086794994, 0.01486710328813979)
(-0.028434452845192186, 0.015035172913478494)
(-0.028946092599587695, 0.015232667849922225)
(-0.029629423060003192, 0.015494887466547341)
(-0.030460450520431854, 0.015812083744828738)
(-0.031238535281572378, 0.016107968394793306)
(-0.03202860094067238, 0.016407467810116583)
(-0.03287446215024485, 0.01672729857987353)
(-0.03379988657072532, 0.017076316796046844)
(-0.03487520659813598, 0.017480799628994407)
(-0.03604407007430694, 0.01791916776975718)
(-0.037270403145700196, 0.018377735865317192)
(-0.03855130084939909, 0.018855317031756153)
(-0.039893400536537144, 0.01935431659488222)
(-0.041307936559519115, 0.01987855184472496)
(-0.0427574078406506, 0.02041395404398477)
(-0.04424217617408736, 0.020960369324337057)
(-0.04575796652808399, 0.021516312005264708)
(-0.047384413499565924, 0.022110566501528452)
(-0.049063506315883645, 0.022721645263118852)
(-0.050789832707953876, 0.023347231440939847)
(-0.052558185480391956, 0.023985201586882377)
(-0.0543459224631081, 0.02462680507892217)
(-0.05611152365949736, 0.02525685487674238)
(-0.05787106716763095, 0.025880726962384377)
(-0.059590305865831285, 0.026486291478135512)
(-0.06129396124127093, 0.02708230079548036)
(-0.06300854442053659, 0.02767789626687767)
(-0.0647019263263694, 0.02826190615719328)
(-0.06638446953358386, 0.028837789478957813)
(-0.06806749761212369, 0.02940943744485267)
(-0.06969256516572964, 0.029957276085443445)
(-0.07129536274475237, 0.030493739993433685)
(-0.07293572819882659, 0.031038814685509952)
(-0.07457993547454002, 0.03158143531207956)
(-0.07627397479029906, 0.03213656952135808)
(-0.07800810422086937, 0.03270095208827992)
(-0.07979424666558796, 0.033278223314041386)
(-0.08160617512902073, 0.03385993428629706)
(-0.08344453525188673, 0.03444636502034141)
(-0.08532919409336862, 0.03504394350196135)
(-0.08724756854589392, 0.03564885202349723)
(-0.08922781898261854, 0.03627007480341317)
(-0.09131287258016622, 0.03692125109412286)
(-0.09341460859772821, 0.03757515469788231)
(-0.09558144393466335, 0.03824728424581668)
(-0.09783840581446766, 0.038945725291851495)
(-0.10019892617320775, 0.039674627464492185)
(-0.10269772880846846, 0.040445149265616924)
(-0.10525214947067038, 0.04123239582497605)
(-0.10789586991987701, 0.04204808033421212)
(-0.11058989715705798, 0.04288014482483867)
(-0.1133300330450429, 0.043727962017480894)
(-0.11610668132171892, 0.04458966268603631)
(-0.11895512042413404, 0.04547660681397223)
(-0.12204837548318341, 0.04644415452259752)
(-0.1251057186431826, 0.047404542354311234)
(-0.12815736709817133, 0.048368180217788034)
(-0.13123262390088153, 0.049344633145774947)
(-0.1343890779355665, 0.050352562173152246)
(-0.13761387904821643, 0.0513882385691503)
(-0.14092533351207023, 0.05245785428424162)
(-0.14430665996586928, 0.05355617451759788)
(-0.14776036200537263, 0.05468442275380777)
(-0.15129892185938437, 0.05584691508461484)
(-0.15482725595874097, 0.057012460456833135)
(-0.15839226757561475, 0.058196245660272955)
(-0.16194160173414324, 0.059380827981415356)
(-0.1655296747779929, 0.06058404480891858)
(-0.16910676198372437, 0.06178920620530951)
(-0.17273694405891807, 0.06301764354878275)
(-0.17641183119826587, 0.0642665876924431)
(-0.18014391875809024, 0.06554033059546376)
(-0.18393457538188301, 0.0668393159895971)
(-0.18779385388026784, 0.06816700906822432)
(-0.1917059882400927, 0.0695178654878609)
(-0.1957044736504675, 0.07090373649843379)
(-0.1997299638085949, 0.0723039437448581)
(-0.20380820724438153, 0.0737276418808257)
(-0.2079252244957168, 0.07517002745127523)
(-0.21208166425557012, 0.07663181191561544)
(-0.2162748848259124, 0.07811226943496023)
(-0.2205029396074276, 0.07961096785085807)
(-0.2247711678344938, 0.08112997809352186)
(-0.22902643099245965, 0.0826504857705284)
(-0.23328495976128547, 0.08417849266796872)
(-0.23755195405216706, 0.0857159240148384)
(-0.24185184540228039, 0.08727181370313904)
(-0.2461490741449818, 0.08883324501788478)
(-0.2504514617694347, 0.0904032612390171)
(-0.2547701446244038, 0.09198580402444377)
(-0.2590846583804419, 0.09357358248916145)
(-0.26341465921704155, 0.09517394968400197)
(-0.2677725430032502, 0.09679176289056779)
(-0.2721768382572412, 0.09843439513837071)
(-0.2766408776913488, 0.10010718464234172)
(-0.281086702134779, 0.1017814908926936)
(-0.28554653379374606, 0.10346942918507362)
(-0.29003050903845196, 0.10517542326323084)
(-0.29453175556314387, 0.10689717878043786)
(-0.29907949722083804, 0.10864646382755985)
(-0.3036491456648918, 0.11041434763672289)
(-0.3082836874508443, 0.11221797142546906)
(-0.3131482024890018, 0.11412304380776621)
(-0.31799140753851085, 0.1160305781677779)
(-0.3229269564182205, 0.11798836770930503)
(-0.32778504467790176, 0.11992789217686205)
(-0.3327380869107694, 0.12191814952464766)
(-0.33755963426572827, 0.12386806626986528)
(-0.3423568024636868, 0.12582025764384747)
(-0.34715224413833407, 0.12778422243683527)
(-0.3519380947153168, 0.12975665591125857)
(-0.3567242023619811, 0.13174172067139245)
(-0.36150579391524995, 0.13373737172686834)
(-0.3663070928874933, 0.13575397399954736)
(-0.3713338712279151, 0.13787906027081512)
(-0.3763932631070965, 0.14003190720366454)
(-0.38169056569551607, 0.1423014413816195)
(-0.3867246012293041, 0.14447298883247972)
(-0.3937846377392236, 0.1475474788591908)
(-0.4003424500970269, 0.15042528757692789)
(-0.406371983470249, 0.15308969163417974)
(-0.41152521111337315, 0.1553794471559561)
(-0.4163839787503058, 0.1575509962495344)
(-0.42110203046871914, 0.15967208062505522)
(-0.42579126295256825, 0.16179260730344822)
(-0.43050292663357986, 0.16393660077674296)
(-0.43524032525921, 0.16610619502605764)
(-0.439964853965312, 0.1682844781259607)
(-0.44473606146600053, 0.17049975054519084)
(-0.44956837866598287, 0.172760093855897)
(-0.45442573437334777, 0.1750499076668564)
(-0.4592773637100807, 0.17735583079261302)
(-0.464180956275101, 0.17970657456548633)
(-0.4690883865260725, 0.18208052321658103)
(-0.47401348736095855, 0.1844859447167688)
(-0.478956883872507, 0.186924349422282)
(-0.4839404026196026, 0.18940831431822386)
(-0.08219729169484746, 0.06804657871274356)
(-0.08165146837166094, 0.06570602622295674)
(-0.08132068049128398, 0.06427578921718462)
(-0.08101970559228446, 0.0629648560368961)
(-0.08068125776519487, 0.06147867720675572)
(-0.08034569876325931, 0.05999303470243481)
(-0.07988011537250475, 0.057907636123525306)
(-0.07952986496094075, 0.05632494688754047)
(-0.07919054330366404, 0.054778711453742635)
(-0.07885505259073981, 0.05323700350234946)
(-0.07852806484834472, 0.051721301186627586)
(-0.07819843336765303, 0.050179605651246)
(-0.07787016277579314, 0.0486304549200611)
(-0.07754251467180438, 0.04707020263352282)
(-0.07714757251116107, 0.04516764800751055)
(-0.07681417357774888, 0.04354488474078545)
(-0.07650104190271295, 0.04200449470939888)
(-0.07619598394103995, 0.04048732164113696)
(-0.0759014380446516, 0.03900568204119316)
(-0.07559672698967067, 0.037453784937354)
(-0.07531450659134548, 0.03599907250119033)
(-0.07503480567861257, 0.03454015157130627)
(-0.07474788113090675, 0.033025072331578156)
(-0.07445000329022247, 0.03143239473042472)
(-0.07414327543346261, 0.029771888225826573)
(-0.07383219397793668, 0.02806705676357135)
(-0.07351727520681532, 0.026320256725394252)
(-0.07320092417447852, 0.02454401425148137)
(-0.07288511023439548, 0.022749827296565276)
(-0.07256468715814023, 0.020907608693265706)
(-0.07224613625830514, 0.019055293849792893)
(-0.0719309155890939, 0.017202133402435805)
(-0.07162096833320185, 0.01536119639822804)
(-0.0713151282515431, 0.013527264646755579)
(-0.07101372595319078, 0.011704005755818456)
(-0.07071438496959012, 0.009879406626307822)
(-0.07041525139928764, 0.008044024617666226)
(-0.07011529632931074, 0.006193624570615758)
(-0.06981465126110249, 0.004327856835879039)
(-0.06948653303861328, 0.002284171411711989)
(-0.06918275601574045, 0.0003870419485075963)
(-0.06888873670239556, -0.0014522985129975109)
(-0.06859880377587468, -0.0032682480141449782)
(-0.06831426437541546, -0.005050732259303793)
(-0.06803729964239201, -0.006784932795683312)
(-0.06776792656827943, -0.00846909791513857)
(-0.06750055817444389, -0.01013724954098886)
(-0.06723733894307843, -0.011775043518872843)
(-0.06697480460333095, -0.013403270484408824)
(-0.06671113778295816, -0.01503288242741467)
(-0.06639775449231723, -0.01696115547387067)
(-0.0661248834668409, -0.018632679644183872)
(-0.06587053087623321, -0.02018436483483342)
(-0.06557124219167845, -0.022000715630967112)
(-0.06533625036770817, -0.02342055602048594)
(-0.06511364822732722, -0.024760106120823983)
(-0.06489028098606076, -0.026098628704297355)
(-0.06466165978212016, -0.027462925966698706)
(-0.06442357318837585, -0.028877798840580535)
(-0.0641798764218345, -0.030319795507380762)
(-0.06391639401413907, -0.03187241721625192)
(-0.06365085892278673, -0.03343108121245371)
(-0.06335755957270413, -0.03514728510524913)
(-0.0630473953491398, -0.03695728989641162)
(-0.06273092078834056, -0.03880093913184838)
(-0.062391449479658204, -0.04077413338945116)
(-0.062022723202601306, -0.042917121529902943)
(-0.06161857502159, -0.04526708148400165)
(-0.061177781563490484, -0.04783539486225109)
(-0.060688976688819486, -0.050687919723726126)
(-0.06017077192964286, -0.05371693020397588)
(-0.05963197471122272, -0.05687248457817787)
(-0.0590469136628089, -0.06031078893041351)
(-0.05844910324371867, -0.0638381403469428)
(-0.057872464367354395, -0.06725506578256608)
(-0.057305943809189845, -0.07062514347061763)
(-0.056748282724555704, -0.07395568038487964)
(-0.05619116015446939, -0.07729743585982891)
(-0.05564682637192909, -0.08057939247099044)
(-0.055099972494183386, -0.08389525503891461)
(-0.05453231419758038, -0.08736140127281411)
(-0.05392755368118763, -0.09108516568720369)
(-0.0533165252444842, -0.09488391379787871)
(-0.05272810018875911, -0.09857948862027886)
(-0.05213576866638644, -0.10234227719397342)
(-0.051537053749919376, -0.10619255666645262)
(-0.050947544263705964, -0.11003497615421964)
(-0.05036874271409938, -0.11386131000059488)
(-0.04978338196963186, -0.1177916991173147)
(-0.04920034223632696, -0.12176977389677283)
(-0.04856892597293311, -0.12615673495199461)
(-0.047872761526577816, -0.1310913159143286)
(-0.047273478940648685, -0.13541493715479727)
(-0.04666957249375849, -0.13984774510847478)
(-0.04606847289135752, -0.14433615206483758)
(-0.045469767556654495, -0.14887904752865797)
(-0.0448724242390555, -0.15348202678370912)
(-0.044276688033445484, -0.15813678308518647)
(-0.04368775905323068, -0.16279663642140876)
(-0.043108533325045426, -0.16743951977353524)
(-0.0425274038747716, -0.1721443395546226)
(-0.04195266536711357, -0.17683880543539332)
(-0.04138190640721759, -0.18153827080115212)
(-0.04081250480851629, -0.18627232478118258)
(-0.040238222621564075, -0.19108157093256406)
(-0.03966844981462493, -0.19588920246535232)
(-0.03910307202682174, -0.20069475456548586)
(-0.03853896651997971, -0.20552745915822218)
(-0.03797193193645018, -0.2104265298663675)
(-0.03740578254356128, -0.21536510924924168)
(-0.03683803201706373, -0.22037247598764534)
(-0.036251966880703625, -0.22560780247257778)
(-0.035683469832477624, -0.23075802287247107)
(-0.03512096805638733, -0.23592036406283742)
(-0.03456006114733388, -0.24115650749206471)
(-0.0340061475640253, -0.24642366028276214)
(-0.03345959279047151, -0.2517289931544888)
(-0.0329194343358379, -0.2570887600699648)
(-0.0323828717433285, -0.26254653371166886)
(-0.031855395571954305, -0.26805626592470033)
(-0.031335566198916386, -0.27364642021215235)
(-0.030827235724338556, -0.2792880847500114)
(-0.03032365364141657, -0.2850738863064317)
(-0.029840077539438632, -0.2908390879624688)
(-0.0293705049764681, -0.29666132386131683)
(-0.028915157083746486, -0.302553014976415)
(-0.028474556229229, -0.3085201562329083)
(-0.028051722128909176, -0.3145402101661211)
(-0.027644886699265365, -0.32065437566435034)
(-0.027257735935324254, -0.3268278898578063)
(-0.02688726481816067, -0.33313364209325025)
(-0.026539648268589358, -0.339487188411062)
(-0.026205397965382633, -0.3461100342904379)
(-0.02590158496981935, -0.3526902316527202)
(-0.025629206089456156, -0.3592005914984114)
(-0.025384217348433494, -0.36573953405138215)
(-0.02516587212530125, -0.372357318658381)
(-0.024975606101235448, -0.37902946315240416)
(-0.024813791380309657, -0.38575927824609113)
(-0.024680543914071193, -0.3925651295641031)
(-0.024576029266735033, -0.3994821784202354)
(-0.024501257440037564, -0.4065084795566549)
(-0.02445775314315294, -0.41354233009348285)
(-0.024445498888795616, -0.42061259538320356)
(-0.024464551462316842, -0.42770336299063244)
(-0.024514393048727302, -0.43472594785236535)
(-0.02459346111470542, -0.44162939460742756)
(-0.02470048350081689, -0.4483975231135612)
(-0.02483280268653383, -0.4549669503603597)
(-0.024988670281247762, -0.4613400879243254)
(-0.025164816129940787, -0.46747784922237356)
(-0.1991700106207668, 0.025635275236909894)
(-0.19831115758678775, 0.027006002882241788)
(-0.1978508905981646, 0.027744288163461063)
(-0.19738625186425773, 0.028492836020259826)
(-0.19690715614470095, 0.029267941588389884)
(-0.19630009426814907, 0.030254887166477288)
(-0.19577796024577665, 0.03110722212296996)
(-0.19526433032805748, 0.03194876433383211)
(-0.19474307727859905, 0.032805905477740774)
(-0.19421209050445795, 0.03368206273949159)
(-0.19368142409517533, 0.03456071180111445)
(-0.19315483551090973, 0.035435401615468556)
(-0.19262344365565381, 0.036320843752408204)
(-0.19204284708620595, 0.0372913251879389)
(-0.1914858587492858, 0.03822503105141948)
(-0.19094657934823905, 0.039131434936862775)
(-0.19040122277974958, 0.040050226940255305)
(-0.18986001584172324, 0.040964015709074916)
(-0.18931229027746357, 0.04189050659232049)
(-0.18875794066708892, 0.04282966944015788)
(-0.18818703156543246, 0.043798112003160715)
(-0.1875866168151498, 0.04481771220092859)
(-0.18695089673136267, 0.04589812839554726)
(-0.1862430536369991, 0.04710209607225862)
(-0.1855135062643475, 0.04834374993196542)
(-0.18474973096708425, 0.04964446727027122)
(-0.183971269215055, 0.05097095244994532)
(-0.18318285450054433, 0.05231531868523369)
(-0.18239372131327383, 0.05366186457728655)
(-0.18160373051470266, 0.05501119844324262)
(-0.1808069371125424, 0.05637387762819033)
(-0.18000865334656996, 0.05774125999506731)
(-0.17921142899371942, 0.05910944653486509)
(-0.17841917847558503, 0.0604720840495132)
(-0.17762096891593845, 0.061848624745487774)
(-0.17681613655071807, 0.06324054884837867)
(-0.17599884692637977, 0.06465866703572778)
(-0.1751662907548129, 0.06610832048849065)
(-0.17431367215757673, 0.06759864966383068)
(-0.17344627187727604, 0.06912099851796688)
(-0.1725570251201271, 0.07068829920031268)
(-0.17163385950331075, 0.07232260310383336)
(-0.1706716976245551, 0.07403366113020869)
(-0.16967451711244047, 0.07581521062057413)
(-0.16863201905819392, 0.07768620472000001)
(-0.1675537112994506, 0.07962938684461247)
(-0.16643520694436434, 0.08165376757630247)
(-0.1652761272260728, 0.0837610585165514)
(-0.16408528377066087, 0.08593552241272474)
(-0.1628409305969045, 0.088217784575913)
(-0.161563865905242, 0.09057037453310916)
(-0.16025683549686615, 0.09298841433633226)
(-0.1589256200485317, 0.0954619177089986)
(-0.1575158305095095, 0.09809309425516011)
(-0.15613684207733633, 0.10067835817366298)
(-0.1547453928765155, 0.10329841505770129)
(-0.15337178742480706, 0.10589622522217536)
(-0.15197608250520214, 0.10854711426245182)
(-0.15056206129106833, 0.111243958984781)
(-0.14912198697179693, 0.1140012678325234)
(-0.14766006908793716, 0.11681052479093844)
(-0.1461766599447158, 0.11967040300023248)
(-0.14468581504377992, 0.12255272264245869)
(-0.1431687507817189, 0.1254929336316821)
(-0.1416647277348111, 0.12841341456788513)
(-0.14014926832447472, 0.13136056542038407)
(-0.13861997753645675, 0.13433748868757306)
(-0.13705324241338393, 0.13738900335316348)
(-0.13542877336279296, 0.14055349644686)
(-0.1337383513815345, 0.14384590150803797)
(-0.13197613755797555, 0.14727724341520917)
(-0.13002551545679458, 0.15107356936026528)
(-0.12805966590179646, 0.15489807629219499)
(-0.1260597558964696, 0.1587875996374913)
(-0.12400794227613225, 0.16277788839825205)
(-0.12190023208303336, 0.16687726303308023)
(-0.11976804550660855, 0.17102633878428744)
(-0.1175881414649965, 0.17527198903817265)
(-0.1153970750769515, 0.1795449641425959)
